rank_index,timestamp,date,actual,forecast,surpriseDelta,surpriseAbsDelta
0,1498215600,"2017-06-23T11:00:00.000Z",57.3,57.2,0.09999999999999432,0.09999999999999432
1,1495537200,"2017-05-23T11:00:00.000Z",57,56.9,0.10000000000000142,0.10000000000000142
2,1499079600,"2017-07-03T11:00:00.000Z",57.4,57.3,0.10000000000000142,0.10000000000000142
3,1514894400,"2018-01-02T12:00:00.000Z",60.6,60.5,0.10000000000000142,0.10000000000000142
4,1504263600,"2017-09-01T11:00:00.000Z",57.4,57.2,0.19999999999999574,0.19999999999999574
5,1506942000,"2017-10-02T11:00:00.000Z",58.1,57.9,0.20000000000000284,0.20000000000000284
6,1508844000,"2017-10-24T11:20:00.000Z",58.6,58.3,0.30000000000000426,0.30000000000000426
7,1513252800,"2017-12-14T12:00:00.000Z",60.6,60.2,0.3999999999999986,0.3999999999999986
8,1503486000,"2017-08-23T11:00:00.000Z",57.4,56.9,0.5,0.5
9,1519905600,"2018-03-01T12:00:00.000Z",58.6,59.1,-0.5,0.5
10,1517486400,"2018-02-01T12:00:00.000Z",59.6,60.2,-0.6000000000000014,0.6000000000000014
11,1501585200,"2017-08-01T11:00:00.000Z",56.6,57.3,-0.6999999999999957,0.6999999999999957
12,1500894000,"2017-07-24T11:00:00.000Z",56.8,57.5,-0.7000000000000028,0.7000000000000028
13,1506078000,"2017-09-22T11:00:00.000Z",58.2,57.5,0.7000000000000028,0.7000000000000028
14,1512129600,"2017-12-01T12:00:00.000Z",60.1,59.4,0.7000000000000028,0.7000000000000028
15,1522753200,"2018-04-03T11:00:00.000Z",56.6,57.6,-1,1
16,1516795200,"2018-01-24T12:00:00.000Z",59.6,60.7,-1.1000000000000014,1.1000000000000014
17,1519214400,"2018-02-21T12:00:00.000Z",58.5,59.7,-1.2000000000000028,1.2000000000000028
18,1511438400,"2017-11-23T12:00:00.000Z",60,58.7,1.2999999999999972,1.2999999999999972
19,1521720000,"2018-03-22T12:00:00.000Z",56.6,58.6,-2,2
