series_key,label,family,currency,country,pair,distinct_packages,complete_inputs,complete_inputs_pct,represented_years,collisions,collision_pct,open_market_entries,clean_pre_entry_14,clean_6h4,clean_12h4,clean_30h4,clean_42h4,clean_60h4,joint_complete_pre14,joint_clean_6h4,joint_clean_12h4,joint_clean_30h4,joint_clean_42h4,joint_clean_60h4
USD:US:840140001:r0,"Initial Jobless Claims","Labor / Employment",USD,US,AUDUSD,417,296,71.0,"2015–2022",272,65.2,414,408,407,369,365,344,340,292,291,262,260,245,243
USD:US:840140001:r0,"Initial Jobless Claims","Labor / Employment",USD,US,EURUSD,417,296,71.0,"2015–2022",272,65.2,414,407,406,372,368,349,345,292,291,265,263,250,248
USD:US:840140001:r0,"Initial Jobless Claims","Labor / Employment",USD,US,USDCAD,417,296,71.0,"2015–2022",272,65.2,414,408,407,369,365,344,340,292,291,262,260,245,243
USD:US:840140001:r0,"Initial Jobless Claims","Labor / Employment",USD,US,USDCHF,417,296,71.0,"2015–2022",272,65.2,413,408,407,369,365,342,338,292,291,263,261,246,244
USD:US:840140001:r0,"Initial Jobless Claims","Labor / Employment",USD,US,USDJPY,417,296,71.0,"2015–2022",272,65.2,414,408,407,370,366,346,342,292,291,263,261,247,245
USD:US:840140002:r0,"Continuing Jobless Claims","Labor / Employment",USD,US,AUDUSD,417,296,71.0,"2015–2022",272,65.2,414,408,407,369,365,344,340,292,291,262,260,245,243
USD:US:840140002:r0,"Continuing Jobless Claims","Labor / Employment",USD,US,EURUSD,417,296,71.0,"2015–2022",272,65.2,414,407,406,372,368,349,345,292,291,265,263,250,248
USD:US:840140002:r0,"Continuing Jobless Claims","Labor / Employment",USD,US,USDCAD,417,296,71.0,"2015–2022",272,65.2,414,408,407,369,365,344,340,292,291,262,260,245,243
USD:US:840140002:r0,"Continuing Jobless Claims","Labor / Employment",USD,US,USDCHF,417,296,71.0,"2015–2022",272,65.2,413,408,407,369,365,342,338,292,291,263,261,246,244
USD:US:840140002:r0,"Continuing Jobless Claims","Labor / Employment",USD,US,USDJPY,417,296,71.0,"2015–2022",272,65.2,414,408,407,370,366,346,342,292,291,263,261,247,245
USD:US:840140001:r0,"Initial Jobless Claims","Labor / Employment",USD,US,GBPUSD,417,296,71.0,"2015–2022",272,65.2,414,407,406,369,364,344,339,291,290,262,259,245,242
USD:US:840140001:r0,"Initial Jobless Claims","Labor / Employment",USD,US,NZDUSD,417,296,71.0,"2015–2022",272,65.2,413,407,406,367,362,340,335,291,290,261,258,243,241
USD:US:840140002:r0,"Continuing Jobless Claims","Labor / Employment",USD,US,GBPUSD,417,296,71.0,"2015–2022",272,65.2,414,407,406,369,364,344,339,291,290,262,259,245,242
USD:US:840140002:r0,"Continuing Jobless Claims","Labor / Employment",USD,US,NZDUSD,417,296,71.0,"2015–2022",272,65.2,413,407,406,367,362,340,335,291,290,261,258,243,241
USD:US:840200009:r0,"EIA Natural Gas Storage Change","Unclassified",USD,US,AUDUSD,417,281,67.4,"2015–2022",23,5.5,415,410,409,370,365,345,340,279,278,248,246,231,229
USD:US:840200009:r0,"EIA Natural Gas Storage Change","Unclassified",USD,US,EURUSD,417,281,67.4,"2015–2022",23,5.5,415,409,408,373,368,350,345,279,278,251,249,236,234
USD:US:840200009:r0,"EIA Natural Gas Storage Change","Unclassified",USD,US,NZDUSD,417,281,67.4,"2015–2022",23,5.5,414,409,408,368,362,341,335,279,278,248,246,231,229
